SEGMENTO_ID,MUEBLE_ID,PLANOGRUPO,TAMAÑO,DIRECCION_LEGO_ID,UPC_CVE,NUM_FRENTES,CHAROLA,UBICACION_BANDEJA,ANCHO
CLA,CF,Refrescos,2.0,DI,7501055368662,1.0,5,6,6.5
CLA,CF,Refrescos,2.0,DI,7501055305391,1.0,6,3,6.6
CLA,CF,Refrescos,2.0,DI,7501071120176,1.0,8,4,9.0
CLA,CF,Refrescos,3.0,DI,7501055321681,1.0,7,1,10.0
CLA,CF,Refrescos,3.0,DI,7501198350418,1.0,16,4,6.6
CLA,CF,Refrescos,3.0,ID,7501073839861,1.0,2,2,10.3
CLA,CF,Refrescos,3.5,DI,7501055304745,1.0,7,1,11.3
CLA,CF,Refrescos,4.0,DI,7501055349401,1.0,6,1,5.0
CLA,CF,Refrescos,4.0,DI,7501022013052,1.0,16,1,6.8
CLA,CF,Refrescos,4.0,DI,7501071140815,1.0,17,4,5.8
CLA,CF,Refrescos,4.0,ID,7501022013885,1.0,6,6,5.8
CLA,CF,Refrescos,4.0,ID,7501055353163,1.0,7,1,9.4
CLA,CF,Refrescos,4.0,ID,7501055354696,2.0,18,4,5.5
CLA,CF,Refrescos,4.0,ID,7501055358984,1.0,24,4,6.0
CLA,CF,Refrescos,4.5,ID,7500326103407,1.0,2,4,9.5
CLA,CF,Refrescos,4.5,ID,7501073833722,1.0,6,3,6.6
CLA,CF,Refrescos,4.5,ID,7501022014585,1.0,11,3,6.7
CLA,CF,Refrescos,4.5,ID,7501055313525,1.0,17,3,8.5
CLA,CF,Refrescos,5.0,DI,7501073830509,1.0,29,5,6.4
CLA,CF,Refrescos,5.0,ID,7501198355536,1.0,6,7,6.0
HRN,CF,Alternativas,0.5,DI,7501055317653,1.0,1,7,8.5
HRN,CF,Alternativas,1.0,DI,036731321008,1.0,1,6,8.5
HRN,CF,Alternativas,1.0,ID,7506192508216,1.0,5,1,15.75
HRN,CF,Alternativas,1.5,DI,7501055366798,1.0,1,3,8.58
HRN,CF,Alternativas,1.5,DI,7501022014288,1.0,2,3,8.4
HRN,CF,Alternativas,2.0,ID,7501055366798,1.0,2,5,8.58
HRN,CF,Alternativas,2.5,DI,7501035046351,1.0,20,1,6.7
HRN,CF,Alternativas,2.5,ID,7501055310784,1.0,7,2,6.4
HRN,CF,Alternativas,2.5,ID,684576000048,1.0,9,7,6.5
HRN,CF,Alternativas,3.5,DI,7501013100631,1.0,27,2,7.6
HRN,GC,Botanas,3.0,DI,757528039271,1.0,4,1,20.0
HRN,GC,Botanas,3.0,DI,7500478044092,1.0,6,6,11.0
HRN,GC,Botanas,3.0,ID,7500478043958,1.0,6,6,11.0
HRN,GC,Botanas,3.0,ID,7500478017096,1.0,7,6,11.5
HRN,GC,Botanas,3.5,DI,757528001889,1.0,4,4,19.0
HRN,GC,Botanas,3.5,DI,7501011127012,2.0,7,4,12.0
HRN,GC,Botanas,3.5,DI,7501006560299,1.0,16,8,14.5
HRN,GC,Botanas,4.0,DI,7502294223040,1.0,5,2,22.0
HRN,GC,Botanas,4.0,DI,7500478017096,1.0,7,2,11.5
HRN,GC,Botanas,4.0,DI,730399005156,1.0,20,1,20.0
HRN,GC,Botanas,4.0,ID,604722013975,1.0,1,3,13.0
HRN,GC,Botanas,4.0,ID,730399012178,1.0,4,4,17.5
HRN,GC,Botanas,4.0,ID,7502294223002,1.0,20,3,13.0
HRN,GC,Botanas,4.5,DI,604722012763,1.0,18,6,11.5
HRN,GC,Botanas,4.5,ID,7500478007981,2.0,16,3,19.0
HRN,GC,Botanas,5.0,ID,604722013975,1.0,2,2,13.0
HRN,GC,Botanas,5.0,ID,7503031287097,1.0,21,4,12.5
HRN,GC,Botanas,6.0,DI,7500478038671,1.0,16,6,11.5
HRN,GC,Botanas,6.0,DI,7500478044160,1.0,23,2,16.5
HRN,GC,Botanas,6.0,ID,7501006559439,1.0,1,4,14.5
HRN,GC,Botanas,6.0,ID,730399012185,1.0,3,8,14.0
HRN,GC,Botanas,6.0,ID,604722012916,1.0,4,4,13.5
HRN,GC,Botanas,6.0,ID,7501011131064,1.0,17,4,16.0
HRN,GC,Botanas,6.0,ID,7500810013564,1.0,21,3,9.0
HRN,GC,Botanas,6.0,ID,7501011154865,1.0,24,1,23.0
HRN,GC,Botanas,6.0,ID,7502294227871,1.0,25,4,16.0
HRN,GC,Botanas,7.0,DI,7502294221626,1.0,5,3,16.0
HRN,GC,Botanas,7.0,DI,7500478025558,1.0,14,3,21.5
HRN,GC,Botanas,7.0,ID,604722013975,1.0,3,3,13.0
HRN,GC,Botanas,7.0,ID,730399012185,1.0,9,2,14.0
HRN,GC,Botanas,8.0,DI,757528038205,1.0,3,5,20.0
HRN,GC,Botanas,8.0,DI,7500478018512,6.0,21,1,10.2
HRN,GC,Botanas,8.0,DI,7501011167650,1.0,24,1,16.0
HRN,GC,Botanas,8.0,DI,7500478044221,4.0,27,3,11.0
HRN,GC,Botanas,8.0,DI,730399003237,1.0,31,4,12.2
HRN,GC,Botanas,8.0,ID,730399007549,1.0,9,2,19.0
HRN,CF,Jugos,1.0,DI,032239052000,1.0,5,5,6.5
HRN,CF,Jugos,1.0,DI,7501013105544,1.0,6,7,6.98
HRN,CF,Jugos,1.0,DI,7501013104714,1.0,7,1,6.9
HRN,CF,Jugos,1.0,ID,014800515329,1.0,3,5,7.5
HRN,CF,Jugos,1.0,ID,7501055332496,1.0,5,2,6.94
HRN,CF,Jugos,1.5,DI,7501013100549,1.0,3,2,9.4
HRN,CF,Jugos,1.5,DI,7503049695426,1.0,5,2,6.15
HRN,CF,Jugos,1.5,DI,7501013191219,1.0,7,6,8.0
HRN,CF,Jugos,1.5,DI,7501013103151,1.0,11,5,5.0
HRN,CF,Jugos,1.5,ID,7501013105780,1.0,5,4,7.43
HRN,CF,Jugos,1.5,ID,7501013102697,1.0,10,4,5.77
HRN,CF,Jugos,2.0,DI,7501055359752,1.0,5,7,6.55
HRN,CF,Jugos,2.0,DI,7501013191035,1.0,12,4,8.0
HRN,CF,Jugos,2.0,ID,7501005102674,1.0,8,4,7.1
HRN,CF,Jugos,2.0,ID,032239058149,1.0,15,5,5.0
HRN,CF,Jugos,2.5,DI,7501013107302,2.0,20,1,4.2
HRN,CF,Jugos,2.5,ID,7501013104820,1.0,5,5,7.4
HRN,CF,Jugos,3.0,DI,7501013105797,1.0,20,3,7.43
HRN,CF,Jugos,3.0,DI,7501055332496,2.0,23,2,6.94
HRN,CF,Refrescos,2.0,DI,7501031311644,1.0,9,2,8.0
HRN,CF,Refrescos,2.0,ID,021136010480,1.0,2,2,9.7
HRN,CF,Refrescos,2.0,ID,7501055320639,2.0,11,3,6.9
HRN,CF,Refrescos,2.5,DI,75005771,1.0,5,2,6.2
HRN,CF,Refrescos,2.5,DI,7501073830509,1.0,12,7,6.4
HRN,CF,Refrescos,2.5,ID,7501022015858,1.0,7,4,7.8
HRN,CF,Refrescos,3.0,ID,7501071120183,1.0,3,1,6.7
HRN,CF,Refrescos,3.0,ID,7501022015438,1.0,12,4,6.6
HRN,CF,Refrescos,3.5,DI,7501055305339,2.0,11,1,6.9
HRN,CF,Refrescos,3.5,ID,7501073830509,1.0,8,1,6.4
HRN,CF,Refrescos,4.0,DI,7501055305421,1.0,8,2,11.5
HRN,CF,Refrescos,4.0,DI,7501073839861,2.0,19,3,10.3
HRN,CF,Refrescos,4.0,ID,7501022013885,1.0,6,6,5.8
HRN,CF,Refrescos,4.0,ID,7501055379484,1.0,10,6,7.2
HRN,CF,Refrescos,4.0,ID,7501022013052,1.0,11,5,6.8
HRN,CF,Refrescos,4.0,ID,7501055354672,1.0,24,1,5.3
HRN,CF,Refrescos,4.5,DI,7501055307678,1.0,18,4,5.5
HRN,CF,Refrescos,4.5,ID,7501022016008,1.0,14,1,5.8
HRN,CF,Refrescos,5.0,DI,7501022013885,1.0,24,4,5.8
HRN,CF,Refrescos,5.0,DI,7501073833722,1.0,28,6,6.6
HRN,CF,Refrescos,5.0,ID,7500326103407,1.0,2,4,9.5
HRN,CF,Refrescos,5.0,ID,7501055303786,1.0,4,1,7.1
HRN,CF,Refrescos,5.0,ID,7501022014257,1.0,17,4,6.0
HRN,CF,Refrescos,5.5,DI,75005771,5.0,5,2,6.2
HRN,CF,Refrescos,5.5,DI,7501055314270,1.0,6,5,5.6
HRN,CF,Refrescos,5.5,DI,7501031312672,1.0,15,3,8.3
HRN,CF,Refrescos,5.5,DI,7501055310876,1.0,19,1,12.5
HRN,CF,Refrescos,6.0,DI,7501055320677,1.0,5,2,6.5
HRN,CF,Jugos,2.0,ID,7501013102789,1.0,1,4,7.43
BCO,CF,Alternativas,0.5,DI,7506241205646,1.0,3,1,6.8
BCO,CF,Alternativas,0.5,ID,7503041640233,1.0,2,4,6.8
BCO,CF,Alternativas,0.5,ID,7501125174797,1.0,3,7,6.5
BCO,CF,Alternativas,1.0,DI,7503046128040,1.0,3,3,5.8
BCO,CF,Alternativas,1.0,DI,7506192509084,1.0,8,7,6.61
BCO,CF,Alternativas,1.0,ID,7506192507714,1.0,7,6,6.6
BCO,CF,Alternativas,1.5,DI,7501125104688,1.0,6,4,6.5
BCO,CF,Alternativas,1.5,DI,070847035916,2.0,8,4,6.5
BCO,CF,Alternativas,1.5,ID,7501125149221,1.0,10,7,6.5
BCO,CF,Alternativas,2.0,DI,070847036043,1.0,13,1,6.5
BCO,CF,Alternativas,2.0,ID,036731324009,1.0,1,4,8.5
BCO,CF,Alternativas,2.0,ID,070847035916,2.0,4,1,6.5
BCO,CF,Alternativas,2.0,ID,7501013100730,1.0,17,8,5.7
BCO,CF,Alternativas,2.5,DI,7502268541460,1.0,2,6,6.8
BCO,CF,Alternativas,2.5,DI,7501055386338,1.0,14,1,5.75
BCO,CF,Alternativas,2.5,DI,7506192510295,1.0,17,2,6.9
BCO,CF,Alternativas,2.5,ID,7506192505918,1.0,2,1,7.0
BCO,CF,Alternativas,2.5,ID,7506192507714,1.0,2,4,6.6
BCO,CF,Alternativas,2.5,ID,7503027753629,1.0,4,5,6.8
BCO,CF,Alternativas,2.5,ID,810116120888,1.0,12,1,6.5
BCO,CF,Alternativas,2.5,ID,7501055381906,1.0,17,4,6.8
BCO,CF,Alternativas,3.0,DI,7503027753629,1.0,20,6,6.8
BCO,CF,Alternativas,3.0,ID,810116120888,1.0,17,1,6.5
BCO,CF,Alternativas,3.0,ID,7501125144851,2.0,19,2,6.5
BCO,CF,Alternativas,3.5,DI,7501022014288,1.0,9,4,8.4
BCO,CF,Alternativas,3.5,DI,036731106032,1.0,11,5,6.7
BCO,CF,Alternativas,3.5,DI,7506192510684,2.0,17,1,6.1
BCO,CF,Alternativas,3.5,DI,650240064296,1.0,28,2,8.12
BCO,CF,Alternativas,3.5,ID,7501022015049,1.0,26,6,6.95
BCO,CF,Alternativas,3.5,ID,7501013100631,1.0,27,2,7.6
BCO,CF,Alternativas,3.5,ID,7501035046351,1.0,27,10,6.7
BCO,GC,Botanas,3.5,DI,757528026035,1.0,2,5,12.5
BCO,GC,Botanas,3.5,DI,7500478043927,3.0,6,4,11.0
BCO,GC,Botanas,3.5,ID,604722012909,1.0,2,3,13.5
BCO,GC,Botanas,4.0,ID,7500478037872,1.0,12,2,15.5
BCO,GC,Botanas,5.0,DI,7501000266234,1.0,4,5,19.0
BCO,GC,Botanas,5.0,DI,7501006560299,2.0,21,6,14.5
BCO,GC,Botanas,6.0,DI,7502294223033,1.0,5,2,22.0
BCO,GC,Botanas,6.0,DI,7502294225808,1.0,10,2,12.0
BCO,GC,Botanas,6.0,DI,7501011154902,3.0,20,2,22.0
BCO,GC,Botanas,6.0,ID,730399021620,1.0,6,2,11.0
BCO,GC,Botanas,7.0,DI,7502294227871,1.0,10,1,16.0
BCO,GC,Botanas,7.0,DI,7500478036967,1.0,18,1,17.0
BCO,GC,Botanas,7.0,DI,7500478044214,1.0,26,1,11.0
BCO,GC,Botanas,7.0,DI,730399003558,1.0,28,1,17.0
BCO,GC,Botanas,7.0,DI,7501480900215,1.0,35,3,16.0
BCO,GC,Botanas,7.0,ID,7501011135512,1.0,13,5,20.0
BCO,GC,Botanas,7.0,ID,7500478037896,1.0,17,1,15.5
BCO,CF,Jugos,0.5,ID,7501013105780,1.0,1,4,7.43
BCO,CF,Jugos,1.0,DI,7501005102681,1.0,5,3,7.5
BCO,CF,Jugos,1.0,ID,7501013105544,1.0,5,6,6.98
BCO,CF,Jugos,1.0,ID,75078911,1.0,8,4,5.15
BCO,CF,Jugos,1.5,ID,7501013105773,1.0,6,3,7.43
BCO,CF,Jugos,2.0,DI,032239058156,1.0,6,7,5.0
BCO,CF,Jugos,2.0,DI,7501013105803,1.0,9,5,7.43
BCO,CF,Jugos,2.0,DI,7501013105766,1.0,10,4,7.43
BCO,CF,Jugos,2.0,ID,7501013109757,1.0,9,3,11.5
BCO,CF,Jugos,2.0,ID,7501013109689,1.0,9,6,7.43
BCO,CF,Jugos,2.0,ID,7501013106947,1.0,10,5,7.43
BCO,CF,Refrescos,2.5,DI,7501031311644,1.0,9,1,8.0
BCO,CF,Refrescos,2.5,ID,7501055305247,1.0,3,3,10.9
BCO,CF,Refrescos,2.5,ID,7501073839854,2.0,7,3,6.4
BCO,CF,Refrescos,3.0,DI,7501055302925,1.0,2,2,10.0
BCO,CF,Refrescos,3.0,DI,7501073839854,2.0,17,4,6.4
BCO,CF,Refrescos,3.5,DI,7501055314119,1.0,9,4,7.0
BCO,CF,Refrescos,3.5,DI,7501022015377,1.0,17,1,6.6
BCO,CF,Refrescos,4.0,DI,7501055386321,1.0,3,2,7.1
BCO,CF,Refrescos,4.0,DI,7501198350418,1.0,21,1,6.6
BCO,CF,Refrescos,4.0,ID,7501055343560,1.0,12,3,6.0
BCO,CF,Refrescos,4.0,ID,7501055300075,1.0,24,5,6.6
BCO,CF,Refrescos,4.5,DI,7501031311606,1.0,14,3,10.0
BCO,CF,Refrescos,4.5,DI,7501055339983,1.0,16,4,7.1
BCO,CF,Refrescos,4.5,ID,7501055305247,3.0,21,1,10.9
BCO,CF,Refrescos,4.5,ID,75013554,1.0,25,2,6.5
BCO,CF,Refrescos,5.0,DI,7501055310968,1.0,18,1,6.5
BCO,CF,Refrescos,5.0,DI,7501073839861,1.0,20,5,10.3
BCO,CF,Refrescos,5.0,DI,7503018023120,1.0,29,2,6.6
BCO,CF,Refrescos,5.0,DI,021136016185,1.0,29,4,7.6
BCO,CF,Refrescos,5.0,ID,7501031305629,1.0,14,5,11.1
BCO,CF,Refrescos,5.0,ID,021136414547,1.0,16,2,7.0
BCO,CF,Refrescos,5.0,ID,7501055304745,1.0,25,2,11.3
BCO,CF,Refrescos,5.0,ID,7501055302925,1.0,26,3,10.0
BCO,CF,Refrescos,5.0,ID,75005771,5.0,29,3,6.2
CLA,CF,Alternativas,0.5,DI,7501055358861,1.0,1,4,8.58
CLA,CF,Alternativas,0.5,DI,7502268542894,1.0,2,2,8.3
CLA,CF,Alternativas,1.0,ID,7501055310784,1.0,2,2,6.4
CLA,CF,Alternativas,1.0,ID,7506241205646,1.0,8,3,6.8
CLA,CF,Alternativas,1.5,DI,684576000048,1.0,11,2,6.5
CLA,CF,Alternativas,1.5,ID,7501125104343,1.0,10,1,6.5
CLA,CF,Alternativas,2.0,DI,036731106049,1.0,2,2,6.7
CLA,CF,Alternativas,2.0,DI,070847036043,1.0,13,2,6.5
CLA,CF,Alternativas,2.5,DI,7503008669000,1.0,14,2,5.7
CLA,CF,Alternativas,2.5,ID,036731106032,1.0,6,5,6.7
CLA,CF,Alternativas,2.5,ID,7501125104688,1.0,14,2,6.5
CLA,CF,Alternativas,3.0,DI,7501035046252,1.0,24,1,6.6
CLA,CF,Alternativas,3.0,ID,7501031302376,1.0,2,4,6.5
CLA,GC,Botanas,2.0,DI,604722011797,1.0,7,5,11.5
CLA,GC,Botanas,2.0,ID,7500810036839,1.0,7,3,12.5
CLA,GC,Botanas,2.0,ID,7500478016587,3.0,8,1,10.92
CLA,GC,Botanas,2.0,ID,7501000264773,1.0,8,3,12.5
CLA,GC,Botanas,3.0,DI,7501030424536,1.0,1,9,10.0
CLA,GC,Botanas,3.0,DI,7501011167735,1.0,14,1,19.5
CLA,GC,Botanas,3.0,DI,730399005156,1.0,15,2,20.0
CLA,GC,Botanas,3.5,DI,7501011155022,1.0,10,2,22.0
CLA,GC,Botanas,3.5,ID,7501011110335,1.0,3,4,11.0
CLA,GC,Botanas,3.5,ID,7500810030479,1.0,15,5,14.5
CLA,GC,Botanas,4.0,ID,7500478038961,1.0,11,1,10.0
CLA,GC,Botanas,4.5,DI,7502294223033,1.0,5,1,22.0
CLA,GC,Botanas,5.0,DI,7502294223040,1.0,5,4,22.0
CLA,GC,Botanas,5.0,DI,7502294227871,1.0,10,1,16.0
CLA,GC,Botanas,5.0,DI,7501011110335,1.0,16,7,11.0
CLA,GC,Botanas,5.0,DI,7501011116252,1.0,16,8,11.0
CLA,GC,Botanas,5.0,DI,7501011133884,1.0,19,4,20.0
CLA,GC,Botanas,5.0,ID,7501011116252,1.0,6,1,11.0
CLA,GC,Botanas,5.0,ID,757528039288,1.0,20,4,20.0
CLA,GC,Botanas,6.0,ID,604722007943,1.0,2,5,10.0
CLA,GC,Botanas,6.0,ID,7501011167735,2.0,18,2,19.5
CLA,GC,Botanas,7.0,DI,757528039271,1.0,4,1,20.0
CLA,GC,Botanas,7.0,DI,757528003166,2.0,6,3,11.5
CLA,GC,Botanas,7.0,DI,7500326297816,1.0,31,2,12.0
CLA,GC,Botanas,7.0,ID,604722012916,1.0,5,2,13.5
CLA,CF,Jugos,0.5,DI,7501055333868,1.0,1,2,8.5
CLA,CF,Jugos,1.0,DI,7501013104493,1.0,7,4,6.9
CLA,CF,Jugos,2.0,DI,7501055333936,1.0,3,1,6.6
CLA,CF,Jugos,2.0,DI,7501013104707,1.0,4,2,6.9
CLA,CF,Jugos,2.0,DI,7501013105056,1.0,5,3,6.4
